YEAR,QUARTER,NGDP1,NGDP2,NGDP3,NGDP4,NGDP5,NGDP6,NGDPA,NGDPB
1968,4,871.00,885.00,896.00,909.00,925.00,940.00,#N/A,#N/A
1969,1,888.00,901.00,912.00,926.00,942.00,#N/A,#N/A,#N/A
1969,2,903.00,917.00,930.00,943.00,954.00,#N/A,#N/A,#N/A
1969,3,925.00,939.00,950.00,962.00,974.00,#N/A,#N/A,#N/A
1969,4,943.00,954.00,965.00,975.00,990.00,"1,006.00",#N/A,#N/A
1970,1,953.00,962.00,972.00,987.00,"1,003.00",#N/A,#N/A,#N/A
1970,2,960.00,971.00,987.00,"1,002.00","1,020.00","1,038.00",#N/A,#N/A
1970,3,970.00,984.00,998.00,"1,016.00","1,033.00","1,050.00",#N/A,#N/A
1970,4,986.00,993.00,"1,017.00","1,037.00","1,053.00","1,072.00",#N/A,#N/A
1971,1,991.00,"1,018.00","1,039.50","1,053.00","1,075.00","1,100.00",#N/A,#N/A
1971,2,"1,018.00","1,040.00","1,057.00","1,079.00","1,103.00","1,129.00",#N/A,#N/A
1971,3,"1,058.00","1,082.00","1,107.50","1,132.00","1,158.00","1,182.00",#N/A,#N/A
1971,4,"1,061.00","1,081.00","1,108.00","1,132.00","1,158.00","1,185.00",#N/A,#N/A
1972,1,"1,073.00","1,100.00","1,128.00","1,154.00","1,180.50","1,206.00",#N/A,#N/A
1972,2,"1,103.00","1,132.00","1,159.00","1,185.00","1,210.00","1,238.00",#N/A,#N/A
1972,3,"1,139.00","1,166.00","1,193.00","1,221.00","1,247.50","1,271.00",#N/A,#N/A
1972,4,"1,164.00","1,192.00","1,222.00","1,249.00","1,274.00","1,298.00",#N/A,#N/A
1973,1,"1,196.00","1,227.00","1,254.00","1,278.00","1,301.00","1,325.00",#N/A,#N/A
1973,2,"1,236.00","1,266.00","1,290.00","1,312.00","1,335.00","1,357.00",#N/A,#N/A
1973,3,"1,300.00","1,325.00","1,346.00","1,367.00","1,389.00","1,414.00",#N/A,#N/A
1973,4,"1,304.00","1,330.00","1,347.00","1,365.00","1,388.00","1,412.00",#N/A,#N/A
1974,1,"1,334.00","1,351.00","1,372.00","1,399.00","1,430.00","1,460.00",#N/A,#N/A
1974,2,"1,352.00","1,378.00","1,406.00","1,440.00","1,472.00","1,510.00",#N/A,#N/A
1974,3,"1,384.00","1,415.00","1,446.00","1,481.00","1,515.50",#N/A,#N/A,#N/A
1974,4,"1,415.00","1,435.00","1,460.00","1,490.00","1,530.00","1,570.00",#N/A,#N/A
1975,1,"1,428.00","1,438.50","1,468.50","1,507.50","1,548.50","1,586.00",#N/A,#N/A
1975,2,"1,419.00","1,438.00","1,473.00","1,514.00","1,555.00","1,600.00",#N/A,#N/A
1975,3,"1,433.00","1,477.00","1,520.00","1,563.00","1,610.00","1,659.00",#N/A,#N/A
1975,4,"1,498.00","1,541.50","1,588.00","1,634.50","1,679.50","1,725.00",#N/A,#N/A
1976,1,"1,573.00","1,617.00","1,661.00","1,709.00","1,755.00","1,807.00",#N/A,#N/A
1976,2,"1,616.00","1,659.50","1,705.50","1,755.50","1,805.00","1,850.50",#N/A,#N/A
1976,3,"1,673.00","1,717.00","1,767.00","1,815.00","1,865.00","1,912.50",#N/A,#N/A
1976,4,"1,710.00","1,754.50","1,801.50","1,846.00","1,898.50","1,954.50",#N/A,#N/A
1977,1,"1,749.00","1,790.00","1,845.00","1,899.00","1,950.00","2,000.00",#N/A,#N/A
1977,2,"1,793.00","1,850.00","1,905.50","1,960.00","2,010.50","2,063.50",#N/A,#N/A
1977,3,"1,869.00","1,920.00","1,975.00","2,027.00","2,080.00","2,132.50",#N/A,#N/A
1977,4,"1,911.00","1,962.00","2,013.00","2,061.50","2,111.50","2,164.00",#N/A,#N/A
1978,1,"1,965.00","2,015.00","2,066.00","2,118.00","2,173.50","2,221.00",#N/A,#N/A
1978,2,"1,993.00","2,064.00","2,116.50","2,172.00","2,220.00","2,274.00",#N/A,#N/A
1978,3,"2,077.00","2,131.00","2,186.00","2,240.00","2,289.00","2,337.00",#N/A,#N/A
1978,4,"2,141.00","2,196.00","2,248.00","2,293.00","2,345.00","2,385.00",#N/A,#N/A
1979,1,"2,211.00","2,267.00","2,321.00","2,355.00","2,394.00","2,438.00",#N/A,#N/A
